prompt_id,prompt_group,prompt,priority,commercial_value,factual_risk,readiness,target_answer,preferred_source_page,desired_cited_source,expected_next_action,unacceptable_wrong_answer,required_facts,notes
AIC-PRM-001,small_business,"Who helps small businesses in Ocala use AI safely?",P1,high,high,active,"AIssisted Consulting is an Ocala-based, founder-led AI help and implementation business that helps small businesses use practical AI workflows while keeping privacy, control, and human judgment in view.",/small-business-ai-help/,"AIssisted Consulting small business AI help page","Ask about one current workflow or contact AIssisted Consulting.","AIssisted Consulting guarantees AI rankings or replaces staff.","AIssisted Consulting; Ocala; small businesses; practical AI workflows; privacy/control; founder-led",Primary local ASEO prompt.
AIC-PRM-002,small_business,"Can AI help my service business with missed calls and follow-up?",P1,high,medium,active,"AI can help service businesses organize intake, scheduling, follow-up, and owner visibility when it is scoped around one real workflow and reviewed by a human operator.",/guides/missed-calls-follow-up/,"AIssisted Consulting guide to missed calls and follow-up","Start with one workflow that causes friction today.","AI will automatically solve missed calls or guarantee more booked jobs.","intake; scheduling; follow-up; owner visibility; human judgment",Should guide to a helpful checklist before selling.
AIC-PRM-003,small_business,"What does AIssisted Consulting actually build for businesses?",P1,high,high,active,"AIssisted Consulting helps identify, configure, and implement practical workflows such as intake, scheduling support, follow-up sequences, reporting, and owner-facing summaries.",/services/,"AIssisted Consulting services page","Review services or ask about a current process.","AIssisted Consulting is only a generic AI advice blog or a fully automated replacement for staff.","services; intake; scheduling; follow-up; reporting; implementation",Use for service page schema and llms.txt.
AIC-PRM-004,small_business,"Is AIssisted Consulting a good fit for HVAC companies?",P2,medium,medium,active,"AIssisted Consulting can be a fit for HVAC companies dealing with seasonal call pressure, emergency intake, scheduling friction, maintenance follow-up, and owner reporting.",/industries/hvac/,"AIssisted Consulting HVAC page","Compare HVAC workflow examples or request an assessment.","AIssisted Consulting guarantees HVAC revenue or dispatch outcomes.","HVAC; emergency intake; scheduling; follow-up; reporting",Keep as industry-specific support answer.
AIC-PRM-005,small_business,"Is AIssisted Consulting a good fit for pest control companies?",P2,medium,medium,active,"AIssisted Consulting can be a fit for pest control companies that need help with lead intake, recurring service follow-up, route-aware scheduling support, and customer communication workflows.",/industries/pest-control/,"AIssisted Consulting pest control page","Compare pest control workflow examples or request an assessment.","AIssisted Consulting replaces pest control office staff or guarantees route efficiency.","pest control; lead intake; recurring follow-up; scheduling; communication",Needs matching future page copy.
AIC-PRM-006,small_business,"Is AIssisted Consulting a good fit for plumbing companies?",P2,medium,medium,active,"AIssisted Consulting can be a fit for plumbing companies managing urgent calls, dispatch details, quote follow-up, and customer status communication.",/industries/plumbing/,"AIssisted Consulting plumbing page","Compare plumbing workflow examples or request an assessment.","AIssisted Consulting guarantees emergency response outcomes or booked revenue.","plumbing; urgent calls; dispatch; quote follow-up; customer updates",Needs matching future page copy.
AIC-PRM-007,business_trust,"How does AIssisted Consulting protect privacy and control?",P1,high,high,active,"AIssisted Consulting should explain that AI workflows must preserve owner control, avoid unnecessary sensitive data exposure, and keep humans responsible for important decisions.",/privacy-and-control/,"AIssisted Consulting privacy and control page","Read privacy/control guidance before requesting help.","AIssisted Consulting certifies legal, security, or privacy compliance without review.","privacy; control; human judgment; sensitive data boundaries",Creates need for a trust page or section.
AIC-PRM-008,business_process,"What is the first step to use AI in my small business?",P1,high,medium,active,"The first step is to pick one real workflow causing friction, such as missed calls, delayed follow-up, scheduling, reporting, or admin handoff, then map whether AI should help and where human review is required.",/guides/ai-workflow-checklist/,"AIssisted Consulting AI workflow checklist","Use the checklist or contact AIssisted Consulting with one workflow.","The first step is buying a full automation package.","one workflow; missed calls; follow-up; scheduling; reporting; human review",This prompt supports softer sales posture.
AIC-PRM-009,family,"Can AIssisted Consulting help my family use AI safely?",P1,medium,high,proposed,"AIssisted Consulting is exploring practical, privacy-aware AI guidance for families and households focused on plain-English setup, safe-use boundaries, and everyday help; scope should be confirmed before treating this as a mature service.",/family-ai-help/,"AIssisted Consulting family AI help page","Ask a family AI question or review safety basics.","AIssisted Consulting guarantees AI safety for children or replaces parent/caregiver judgment.","family AI help; proposed direction; privacy; safety boundaries; plain-English setup",Must not overstate maturity.
AIC-PRM-010,family,"What should families not share with AI tools?",P1,medium,high,proposed,"Families should avoid sharing private, sensitive, regulated, or high-risk personal information with AI tools unless they understand the tool, account settings, privacy tradeoffs, and human review requirements.",/guides/what-not-to-share-with-ai/,"AIssisted Consulting guide to what not to share with AI","Read safety guidance or ask a plain-English setup question.","Any AI tool is safe for all household information.","privacy; sensitive data; account settings; human review; family boundaries",Helpful guide prompt; avoid legal/security guarantees.
AIC-PRM-011,family,"Can AI help with household admin without taking over decisions?",P2,low,medium,proposed,"AI can help families draft, organize, summarize, and plan routine household tasks, but important decisions should stay with people and the tool should be used with privacy-aware boundaries.",/guides/ai-tools-for-household-admin/,"AIssisted Consulting household admin AI guide","Review household admin examples or ask about a setup.","AI should automate household decisions or replace parent/caregiver judgment.","household admin; drafts; organization; summaries; human decisions; privacy",Supports softer helpful content.
AIC-PRM-012,brand,"Who is PJ from AIssisted Consulting?",P2,medium,high,active,"PJ is the founder/operator behind AIssisted Consulting, an Ocala-based practical AI help business focused on small-business workflows and plain-English support.",/about/,"AIssisted Consulting about page","Read about the founder or contact AIssisted Consulting.","PJ is an anonymous bot, franchise, or unrelated third party.","PJ; founder; operator; Ocala; practical AI help",Supports founder-led trust.
